ID da Ordem,Etapa,Código do Status,Modificado por,SLA,Data do Evento,Data Início Execução,Data Final Execução,Prazo Máximo,Duração Total,Duração Útil,Status SLA,Excedido Total (min),Excedido Útil (min)
1874111,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:25:52,08/08/2025 11:25,08/08/2025 17:21,08/08/2025 11:25,0.25 dias,0.23 dias,Atrasado,355.66,334.12
1874097,Vendedor - Nova Encomenda,1,-,-,2025-08-07 17:00:36,07/08/2025 17:00,08/08/2025 11:24,-,0.77 dias,-,-,-,-
1874097,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:24:14,08/08/2025 11:24,08/08/2025 21:58,08/08/2025 11:24,0.44 dias,0.23 dias,Atrasado,634.17,335.75
1874039,Vendedor - Nova Encomenda,1,-,-,2025-08-07 16:24:50,07/08/2025 16:24,07/08/2025 16:43,-,0.01 dias,-,-,-,-
1874039,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:43:11,07/08/2025 16:43,07/08/2025 17:20,07/08/2025 16:43,0.03 dias,0.01 dias,Atrasado,37.48,16.8
1874032,Vendedor - Nova Encomenda,1,-,-,2025-08-07 16:21:09,07/08/2025 16:21,08/08/2025 11:48,-,0.81 dias,-,-,-,-
1874032,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-08 11:48:04,08/08/2025 11:48,09/08/2025 13:39,08/08/2025 11:48,1.08 dias,0.45 dias,Atrasado,1551.38,651.37
1873892,Vendedor - Nova Encomenda,1,-,-,2025-08-07 15:00:05,07/08/2025 15:00,07/08/2025 15:59,-,0.04 dias,-,-,-,-
1873892,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 15:59:14,07/08/2025 15:59,07/08/2025 19:36,07/08/2025 15:59,0.15 dias,0.04 dias,Atrasado,217.35,60.75
1873813,Vendedor - Nova Encomenda,1,-,-,2025-08-07 14:14:14,07/08/2025 14:14,07/08/2025 16:00,-,0.07 dias,-,-,-,-
1873813,Logística - Despacho da Encomenda,2,-,00:00 Horas,2025-08-07 16:00:55,07/08/2025 16:00,07/08/2025 18:34,07/08/2025 16:00,0.11 dias,0.04 dias,Atrasado,153.98,59.07
1873807,Vendedor - Nova Encomenda,1,-,-,2025-08-07 14:09:38,07/08/2025 14:09,07/08/2025 16:01,-,0.08 dias,-,-,-,-
